stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
129,6787,"Prince Edward Dr South at Meadowvale Dr",,43.646879,-79.504626,,,,,,1
130,7729,"Elmhurst Dr at Henley Cres West Side",,43.728728,-79.571792,,,,,,2
131,2881,"McNicoll Ave at Brahms Ave",,43.799544,-79.359911,,,,,,2
132,6391,"Foxwell St at Bruton Rd East Side",,43.670048,-79.498441,,,,,,2
133,685,"Burnhamthorpe Rd at Old Burnhamthorpe Rd (East)",,43.642747,-79.575602,,,,,,1
134,13431,"Claireport Cres (West) at Albion Rd",,43.746846,-79.634653,,,,,,1
135,1853,"Danforth Rd at Mack Ave",,43.700261,-79.272824,,,,,,2
136,5206,"1216 Lansdowne Ave",,43.673282,-79.449421,,,,,,2
137,6549,"Marlee Ave at Ridelle Ave",,43.703930,-79.441849,,,,,,1
138,13305,"St Clair Ave West at Runnymede Rd West Side",,43.668870,-79.484326,,,,,,1
139,254,"Bay St at Harbour St South Side - Ferry Docks Terminal",,43.641735,-79.377377,,,,,,1
140,7042,"Royal York Rd at York View Dr",,43.630572,-79.504255,,,,,,1
141,3657,"Glencairn Ave at Glenmount Ave",,43.711963,-79.430158,,,,,,1
142,7895,"Opposite 3400 Keele St",,43.747916,-79.487040,,,,,,1
143,1905,"Denton Ave at Madelaine Ave",,43.693522,-79.285673,,,,,,1
144,948,"Davenport Rd at New St",,43.674700,-79.393110,,,,,,1
145,857,"Cosburn Ave at Donlands Ave West Side",,43.690981,-79.342035,,,,,,1
146,5421,"Leslie St at Bannatyne Dr North Side",,43.758903,-79.361143,,,,,,1
147,10654,"Woodsworth Rd at Hopperton Dr (East)",,43.764877,-79.371434,,,,,,1
148,6146,"Tapscott Rd at Newgale Gate",,43.818214,-79.239653,,,,,,1
149,4314,"Kipling Ave at Goswell Rd",,43.649052,-79.538342,,,,,,2
150,9574,"McLevin Ave at Tapscott Rd",,43.804950,-79.226855,,,,,,1
151,9214,"Arleta Ave at Medal Lane",,43.747718,-79.506309,,,,,,1
152,7727,"Elmhurst Dr at Genthorn Ave",,43.725054,-79.564692,,,,,,2
153,964,"Donlands Ave at Memorial Park Ave",,43.689286,-79.340814,,,,,,1
154,404,"Birchmount Rd at Eglinton Ave East",,43.730225,-79.278074,,,,,,1
155,3473,"Davenport Rd at Symington Ave",,43.670556,-79.453794,,,,,,1
156,8959,"Yonge St at Blythwood Rd",,43.716269,-79.400257,,,,,,1
157,5678,"McCowan Rd at St Andrews Rd",,43.760142,-79.247004,,,,,,1
158,5148,"Laird Dr at Wicksteed Ave",,43.710209,-79.363298,,,,,,1
159,1866,"Davisville Ave at Acacia Rd",,43.699650,-79.389801,,,,,,2
160,3214,"Yonge St at Bloor St West - Bloor Station",,43.670441,-79.386954,,,,,,1
161,2986,"Overlea Blvd at William Morgan Dr West Side",,43.708042,-79.341738,,,,,,1
164,6112,"St Clair Ave East at Inglewood Dr",,43.689714,-79.386688,,,,,,1
165,5595,"Martin Grove Rd at Walkway to 308 Silverstone Dr",,43.749189,-79.597892,,,,,,1
166,5637,"Martin Grove Rd at Redgrave Dr (North)",,43.683481,-79.567380,,,,,,1
167,2427,"Emmett Ave at Jane St",,43.690010,-79.500826,,,,,,1
169,6223,"Albion Rd at Elmhurst Dr",,43.725287,-79.550901,,,,,,1
170,7497,"Arrow Rd at Finch Ave West",,43.753006,-79.535911,,,,,,1
171,5430,"Leslie St at Castlebury Cres",,43.796638,-79.369653,,,,,,1
173,196,"Bathurst St at Saranac Blvd",,43.723161,-79.430751,,,,,,1
175,11676,"Lawrence Ave East at Birchmount Rd",,43.747291,-79.285133,,,,,,1
176,1914,"Don Mills Rd at Chipping Rd",,43.744827,-79.345629,,,,,,1
177,6940,"225 Rexdale Blvd",,43.712216,-79.574622,,,,,,1
178,6486,"Kingston Rd at Cromwell Rd West Side",,43.749401,-79.206461,,,,,,1
179,7355,"Spadina Ave at Queen St West North Side",,43.649178,-79.396495,,,,,,1
180,1545,"Sheppard Ave East at Willowdale Ave",,43.764130,-79.399503,,,,,,1
181,3282,"Albion Rd at Westmore Dr East Side",,43.743454,-79.603399,,,,,,1
182,9525,"Bathurst St at Walkway to Crown Heights Cres",,43.796726,-79.446690,,,,,,1
183,4907,"Coxwell Ave at Mortimer Ave - Michael Garron Hospital",,43.690393,-79.326395,,,,,,1
184,8574,"Warden Ave at Huntingwood Dr",,43.785580,-79.311163,,,,,,1
185,3589,"Finch Ave West at Edithvale Dr",,43.777055,-79.427217,,,,,,1
186,8503,"Victoria Park Ave at Sparks Ave",,43.808645,-79.338510,,,,,,1
187,343,"Bellamy Rd North at Benleigh Dr South Side",,43.763167,-79.237531,,,,,,1
188,3724,"Horner Ave at Kipling Ave",,43.607357,-79.520485,,,,,,1
189,3176,"Wilmington Ave at Codsell Ave",,43.754932,-79.453524,,,,,,1
190,2764,"Kennedy Rd at Summer Dr North Side",,43.722233,-79.263541,,,,,,2
191,6917,"The Queensway at St Lawrence Ave",,43.622458,-79.519305,,,,,,1
